character,dialog
ANI,What?
TOROS,And I’m sure you already have a criminal record so...
ANI,"Fuck you. He proposed to me. He wanted to get married. Look, he bought me a 4 carat diamond wedding ring."
TOROS,Give me that.
ANI,NOOOOOO!
TOROS,This is the property of the Zakharov’s.
ANI,RAPE!
ANI,RAPE!
TOROS,What is she saying? Rape? What rape?
TOROS,Shut up! Shut up! Shut her up.
ANI,Help! Rape! Rape! Help!
IGOR,"She’s a biter. If you want her to shut up, you need to gag her."
TOROS,We have to shut her up. The guard will hear!
TOROS,"Oh, don’t give me that shit. They’re landing at noon. You get us in front of the judge first thing or the family will be cutting ties with the firm tomorrow. Simple as that."
IGOR,I'm sorry I had to do that but you gave me no choice.
IGOR,Just do what they say. It’ll be so much easier.
TOROS,"We’ll see you at 9. Yeah, I have it. Yes. Ok."
TOROS,"Ok, time to break this broad."
TOROS,Ok? Calm now? Going to behave?
TOROS,Trust me. I know. I know what you’re thinking.
TOROS,You’re thinking that this little shit betrayed you. I know how you feel because he’s betrayed me too.
GARNIK,Me too.
TOROS,"He’s betrayed all of us. And most importantly, he betrayed his family by marrying you. He’s a spoiled brat who doesn’t want to grow up. And he pushed it too far this time. But I want to help you. The way I see it... this was a green card marriage and therefore Ivan owes you a green card marriage fee. That’s only fair. We get this annulled and I will see to it that you get a 10K fee, good?"
TOROS,No screaming ok? You scream and the gag goes back on.
TOROS,10K. That’s as good as you’re going to get honey.
ANI,I want to talk to Ivan before agreeing to this.
TOROS,We want to talk to Ivan too. So we want the same thing.
ANI,So let’s find Ivan.
TOROS,"Ok, but look at me. When we find Ivan, which we will. And we get this marriage annulled, which we will. You walk away with 10K and never contact Ivan again. Yes?"
ANI,Sure.
TOROS,"Ok, untie her. The license and his passport."
